rank,username,country,new_reports,distinct_types,entropy_bits,entropy_max,entropy_norm
1,rabhi,FR,5613,48,3.3227,5.585,0.5949
2,Xel,FR,1038,48,4.0375,5.585,0.7229
4,drak3hft7,IT,1245,45,4.0767,5.4919,0.7423
5,Noam,FR,627,42,4.0016,5.3923,0.7421
6,Supr4s,FR,792,41,3.946,5.3576,0.7365
7,freesec,FR,859,32,2.3136,5.0,0.4627
9,GoDiego,ES,724,28,2.9438,4.8074,0.6123
10,Icare,FR,450,39,4.1998,5.2854,0.7946
11,Edra,FR,478,32,3.6181,5.0,0.7236
12,reptou,FR,398,39,3.9872,5.2854,0.7544
14,pocsir,CN,409,33,3.6751,5.0444,0.7286
15,Elweth,FR,440,41,4.2056,5.3576,0.785
16,Hisxo,FR,414,28,3.6704,4.8074,0.7635
17,bytehx,MM,672,41,3.9916,5.3576,0.745
18,Chackal,FR,404,22,3.1862,4.4594,0.7145
20,debutant92,FR,498,32,3.7814,5.0,0.7563
21,Xiety,CA,1531,60,4.3004,5.9069,0.728
22,YoyoDavelion,ES,645,29,3.4273,4.858,0.7055
23,SaxX,FR,479,34,3.7797,5.0875,0.7429
24,adibou,FR,289,25,3.628,4.6439,0.7812
25,xavoppa,PH,606,6,0.5501,2.585,0.2128
27,BLUEHACK,FR,450,36,4.0113,5.1699,0.7759
30,wlayzz,FR,225,35,3.9714,5.1293,0.7743
31,SecurityReapers,PK,478,31,3.4805,4.9542,0.7025
32,kuromatae,FR,199,31,3.9223,4.9542,0.7917
33,kto94,FR,359,28,3.4385,4.8074,0.7153
34,c14dd49h,FR,397,25,2.9907,4.6439,0.644
35,Vozec,FR,297,36,3.9925,5.1699,0.7723
38,truff,FR,199,35,4.3799,5.1293,0.8539
39,d0xing,SE,345,14,1.6573,3.8074,0.4353
40,Czeppo,VN,667,33,3.4177,5.0444,0.6775
42,Sicarius,FR,174,24,3.6382,4.585,0.7935
43,hansluz,CH,236,30,3.6797,4.9069,0.7499
44,Aituglo,FR,285,17,2.4324,4.0875,0.5951
45,0xsnpaii,NG,417,8,1.2567,3.0,0.4189
46,pwnwithlove,FR,185,26,3.8196,4.7004,0.8126
47,HannanHaseeb,PK,518,26,3.1382,4.7004,0.6676
48,SpawnZii,FR,252,30,3.9882,4.9069,0.8128
49,djamel-ghorab,DZ,596,44,3.872,5.4594,0.7092
50,Blaklis,FR,200,28,4.0257,4.8074,0.8374
51,zc,CN,154,20,3.4832,4.3219,0.8059
52,Gromak123,FR,286,32,4.0454,5.0,0.8091
53,Geluchat,FR,125,24,3.2767,4.585,0.7147
55,Bizi,FR,253,22,3.2132,4.4594,0.7206
56,secuaudit,MA,396,35,3.0186,5.1293,0.5885
57,Serizao,FR,227,25,3.8039,4.6439,0.8191
58,W0rty,FR,231,29,3.7596,4.858,0.7739
59,Al7eX,IT,207,16,3.1048,4.0,0.7762
61,cuirmousthack,FR,188,31,3.9003,4.9542,0.7873
62,ZaX,FR,149,29,3.6899,4.858,0.7596
63,Perce,FR,249,29,3.8617,4.858,0.7949
64,zere,ES,233,22,2.8927,4.4594,0.6487
65,h0rus3c,ES,276,30,3.6526,4.9069,0.7444
66,n13s,ID,632,23,2.604,4.5236,0.5757
67,ctfpoulpe,FR,158,28,3.674,4.8074,0.7643
68,Nicknam3,FR,221,27,3.7161,4.7549,0.7815
69,lunderquist,SE,183,19,3.061,4.2479,0.7206
70,effrite,FR,158,26,3.9293,4.7004,0.8359
71,Squ3d,FR,152,29,4.1288,4.858,0.8499
73,Yox,FR,219,32,4.0052,5.0,0.801
80,hktn0x,TR,223,23,3.5408,4.5236,0.7827
82,0xd0m7,ES,158,32,4.0875,5.0,0.8175
83,m0kr4n3,DZ,162,23,3.5979,4.5236,0.7954
84,mheranco,DE,147,17,2.7141,4.0875,0.664
85,Jakick,FR,215,29,3.8801,4.858,0.7987
86,Aethlios,FR,112,22,3.66,4.4594,0.8207
87,Nishacid,FR,101,26,4.1052,4.7004,0.8734
88,N0xi0us,ES,216,16,3.0314,4.0,0.7579
89,Ric0s,FR,175,21,3.2569,4.3923,0.7415
90,Mekky,EG,98,18,3.5126,4.1699,0.8424
92,n1nj4sec,FR,125,22,3.8381,4.4594,0.8607
93,ghazidz00,ID,234,25,3.1181,4.6439,0.6715
95,phsi,SE,146,26,3.8061,4.7004,0.8097
96,s5s,CN,184,15,2.9925,3.9069,0.766
97,Liodeus,FR,98,25,4.057,4.6439,0.8736
98,foobar7,DE,172,23,3.5056,4.5236,0.775
99,Sonny,GB,101,25,4.1712,4.6439,0.8982
100,Brumens,SE,125,28,4.3796,4.8074,0.911
